Lotus Huang, Lotus, Huang Rong, 黃蓉, 黄蓉
Ironheart Yang, Ironheart, Yang Tiexin, 楊鐵心, 杨铁心
Charity Bao, Charity, Bao Xiyue, 包惜弱, 包惜弱
Skyfury Guo, Skyfury, Guo Xiaotian, 郭嘯天, 郭啸天
Lily Li, Lily, Li Ping, 李萍, 李萍
Justice Duan, , Duan Tiande, 段天德, 段天德
Khojin, , Huazheng, 華箏, 华筝
Tolui, , Tolui, 拖雷, 拖雷
Gallant Ouyang, Gallant, Ouyang Feng, 歐陽鋒, 欧阳锋
Hector Sha, Hector, Sha Tongtian, 沙通天, 沙通天
Browbeater Hou, Browbeater, Hou Tonghai, 侯通海, 侯通海
Greybeard Liang, Greybeard, Liang Ziweng, 梁子翁, 梁子翁
Hurricane Chen, Hurricane, Chen Xuanfeng, 陳玄風, 陈玄凤
Cyclone Mei, Cyclone, Mei Chaofeng, 梅超風, 梅超风
Serenity Guo, , Guo Jing, 郭靖, 郭靖
Vitality Yang, , Yang Kang, 楊康, 杨康
Triumph Yang, , Yang Zaixing, 楊再興, 杨再兴
